Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Benoit Costil,GIR,FRAN,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,795,1182,0,8,299,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,46,2,177,0,6,0,391,176,0,0,0,0,0,0,0,0,2,0,0,0,56,14,103,65,36,7,0,8,1,29,29,12,335,0,1,0,0,0,3
Jan Oblak,ATM,LIGA,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,514,872,0,8,268,1,12,0,2,0,0,0,0,0,0,0,0,0,1,1158,0,22,1,132,0,10,0,363,134,0,0,0,0,0,0,0,0,0,0,0,0,25,18,103,65,35,7,0,4,2,19,19,13,241,0,0,0,0,0,1
Mike Maignan,LIL,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,586,871,0,12,305,1,19,1,1,0,0,0,0,0,0,0,0,0,0,1227,0,30,2,96,0,12,0,293,98,0,0,0,0,0,0,0,0,0,0,0,0,23,21,88,56,31,9,0,2,1,20,20,13,164,0,0,0,0,0,1
Emiliano Martinez,AVL,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,3,3,1,8,709,1134,0,11,356,0,22,1,1,0,0,0,0,0,0,0,0,0,0,1541,0,53,3,175,0,5,0,440,177,0,0,0,0,0,0,0,0,0,0,0,0,46,15,142,81,60,12,0,6,1,14,14,4,265,0,0,0,0,0,0
Pierre-Emile Hojbjerg,TOT,EPL,M,38,3420,38,0,0,9,0,0,2,4,0,4,0,14,7,48,6,1,16,4,10,2,9,98,51,69,53,2448,2765,1,44,296,23,217,0,0,4,4,1,10,3,1,0,0,20,0,3259,22,397,209,1187,2,47,0,395,314,0,0,0,0,0,0,0,0,3,0,0,0,45,12,0,0,0,0,1,0,0,64,64,0,108,1,0,0,1,1,32
Thibaut Courtois,RMA,LIGA,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,843,1077,0,11,319,0,13,1,1,0,0,0,0,0,0,0,0,0,0,1473,0,22,2,49,0,11,0,238,51,0,0,0,0,0,0,0,0,1,0,0,0,28,17,90,58,31,10,1,8,1,22,22,5,131,0,0,0,0,0,0
Aaron Ramsdale,SHU,EPL,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,1,1,5,442,1019,0,9,350,2,16,2,4,0,0,0,0,0,0,0,0,0,0,1386,2,102,4,237,0,20,0,586,239,0,0,0,0,0,0,0,0,0,0,0,0,63,5,147,88,58,10,1,4,0,34,34,12,281,0,0,0,0,0,2
Baptiste Reynet,NIM,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,3,1,3,0,0,2,1,1,8,931,1441,0,11,348,1,20,0,2,2,1,0,0,0,0,0,0,0,0,1782,2,46,3,177,0,10,0,513,179,0,0,0,0,0,0,0,0,0,0,0,0,71,8,126,83,42,11,1,10,3,20,20,11,294,0,1,0,0,0,1
James Ward-Prowse,SOU,EPL,M,38,3420,38,0,0,5,0,0,8,7,1,0,7,43,24,42,251,55,60,3,19,34,4,75,49,45,27,2102,2434,3,47,288,17,166,0,0,10,8,4,33,16,4,0,0,14,0,3146,23,372,165,1046,8,298,0,592,190,4,3,0,1,50,13,166,163,23,20,10,4,68,9,0,0,0,0,1,0,0,52,52,0,78,0,0,0,1,3,22
Kasper Schmeichel,LEI,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,751,1067,0,12,256,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1385,0,25,1,76,0,7,0,325,77,0,0,0,0,0,0,0,0,0,0,0,0,50,11,88,69,19,4,0,4,0,17,17,7,241,0,0,0,0,0,2
Walter Benitez,NIC,FRAN,G,38,3420,38,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,817,1039,0,13,279,0,18,2,0,0,0,0,0,0,0,0,0,0,0,1406,0,11,2,49,0,4,0,230,49,0,0,0,0,0,0,0,0,0,0,0,0,53,9,125,65,58,4,0,7,0,12,12,5,145,0,0,0,0,0,0
Paul Bernardoni,SCO,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,11,432,767,0,10,299,0,18,1,0,0,0,0,0,0,0,0,0,1,0,1150,0,24,4,105,0,6,0,347,109,0,0,0,0,0,0,0,0,0,0,0,0,58,9,85,48,34,4,2,8,1,30,30,7,166,0,0,0,0,0,0
Anthony Lopes,OL,FRAN,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,793,997,0,7,293,1,11,1,0,0,0,0,0,0,0,0,0,0,2,1332,0,15,3,87,0,2,0,206,83,0,0,0,0,0,0,0,0,0,0,0,0,43,11,95,58,35,10,2,7,1,27,27,7,202,0,1,0,0,0,1
Bruno Ecuele Manga,DIJ,FRAN,D,38,3420,38,0,0,3,0,0,2,0,0,0,0,31,8,57,2,0,1,0,1,0,33,52,38,17,26,1660,1961,0,127,257,11,214,2,1,31,8,2,0,0,0,0,0,6,0,2428,40,75,101,337,3,12,1,331,242,0,0,0,0,0,0,0,0,4,0,0,0,73,6,0,0,0,0,1,0,0,162,162,0,159,0,0,1,0,1,13
Alban Lafont,NAN,FRAN,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,531,990,0,16,301,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,50,2,158,0,14,0,472,159,0,0,0,0,0,0,0,0,0,0,0,0,55,5,114,77,37,10,1,12,1,32,32,18,220,0,0,0,0,0,0
Hugo Lloris,TOT,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,622,898,0,6,304,0,10,1,0,0,0,0,0,0,0,0,0,1,0,1248,0,16,2,97,0,1,0,280,97,0,0,0,0,0,0,0,0,0,0,0,0,45,12,114,75,38,5,0,10,0,19,19,9,183,0,0,0,0,0,0
Alejandro Remiro,RSO,LIGA,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,743,1083,0,9,277,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,40,1,127,0,12,0,347,127,0,0,0,0,0,0,0,0,0,0,0,0,38,14,68,41,27,17,0,5,1,20,20,6,264,0,0,0,0,0,1
Tomas Soucek,WHU,EPL,M,38,3419,38,0,0,7,0,1,10,1,0,1,0,64,23,62,9,1,18,2,17,0,18,78,41,69,43,1213,1607,1,234,246,16,364,0,0,52,20,10,12,3,0,1,0,21,1,2185,110,298,308,618,5,27,0,483,116,0,0,0,0,0,0,0,0,8,0,0,0,47,10,0,0,0,0,1,0,0,102,102,0,84,0,0,2,1,7,29
Dylan Bronn,MET,FRAN,D,38,3413,38,0,1,4,0,0,2,0,0,0,0,16,6,44,4,1,7,0,7,0,14,57,37,37,12,1491,1791,1,44,232,15,128,0,0,9,5,2,7,1,0,0,0,9,0,2167,19,151,111,437,4,34,0,332,215,2,1,0,1,0,0,0,0,2,1,0,0,48,8,0,0,0,0,2,0,0,108,108,0,130,1,0,0,1,2,19
Ashley Westwood,BRN,EPL,M,38,3411,38,0,1,7,0,0,3,3,0,1,2,20,7,44,182,45,53,9,33,17,9,23,15,35,42,1608,2045,16,14,244,13,92,0,0,5,4,3,15,3,0,1,0,11,0,2547,20,462,106,943,3,352,0,632,150,0,0,0,0,30,7,89,81,21,1,1,0,55,11,0,0,0,0,0,0,0,30,30,0,161,0,0,0,0,1,19
Stuart Dallas,LEE,EPL,M/D,38,3410,38,0,2,7,0,0,8,2,0,2,0,48,19,44,82,12,26,3,22,2,3,74,45,40,51,1642,1961,9,33,256,22,179,0,1,19,8,4,29,11,4,0,0,34,0,2730,61,426,180,832,6,141,1,505,149,0,0,0,0,3,1,16,14,17,0,0,0,53,12,0,0,0,0,0,0,0,46,46,0,75,0,0,0,2,3,33
Matt Targett,AVL,EPL,D,38,3405,38,0,1,7,0,0,0,2,1,1,1,6,2,55,146,27,38,3,28,8,14,83,39,28,22,1314,1684,16,71,177,15,191,0,1,2,1,0,4,1,0,1,0,6,0,2614,37,423,125,787,15,205,0,583,199,0,0,0,0,24,8,14,12,33,1,0,0,44,15,0,0,0,0,1,0,0,87,87,0,117,1,0,0,0,0,25
Luke Ayling,LEE,EPL,M/D,38,3400,38,0,1,7,0,0,0,0,1,0,0,24,6,36,82,14,27,5,26,1,36,108,61,29,54,1881,2381,14,66,279,41,268,0,5,14,2,0,10,4,0,0,0,21,0,3352,70,335,171,787,19,124,1,705,278,0,0,0,0,0,0,0,0,23,0,0,0,54,11,0,0,0,0,1,0,0,77,77,0,175,4,0,2,1,0,59
Andrew Robertson,LIV,EPL,D,38,3385,38,0,3,2,0,0,1,7,0,4,3,19,5,21,294,60,66,11,41,18,9,46,34,23,10,2263,2680,36,30,229,28,113,1,0,14,5,1,5,0,0,0,0,11,0,3683,98,677,114,1412,11,311,1,767,176,0,0,0,0,23,4,119,100,41,0,0,0,42,10,0,0,0,0,1,0,0,68,68,0,79,1,0,8,1,1,53
Daniel Congre,MON,FRAN,D,38,3294,38,0,4,4,0,0,2,0,0,0,0,13,3,69,2,0,4,0,4,0,32,59,35,29,25,1307,1511,0,73,150,4,159,1,2,13,3,2,0,0,0,0,0,3,0,1944,22,107,107,413,4,7,0,228,237,0,0,0,0,0,0,0,0,2,0,0,0,61,5,0,0,0,0,1,0,0,140,140,0,128,0,0,0,0,1,6
Gaetan Laborde,MON,FRAN,F,38,3270,38,0,14,3,0,0,16,8,0,8,0,99,41,16,55,11,37,9,29,0,3,43,22,62,30,560,836,11,136,118,33,240,0,1,92,40,16,7,1,0,0,0,31,0,1434,208,202,295,367,4,69,0,502,21,0,0,0,0,1,0,0,0,30,0,0,0,58,4,0,0,0,0,0,0,0,21,21,0,12,1,0,6,9,7,70
Youri Tielemans,LEI,EPL,M,38,3358,37,1,2,6,0,0,6,4,3,4,0,49,20,46,138,21,49,3,33,12,8,86,45,37,54,2028,2482,10,35,271,43,217,0,1,16,9,4,33,11,2,0,0,35,0,3151,43,539,184,1194,4,225,0,680,181,2,2,0,0,19,2,99,71,20,4,3,0,50,11,0,0,0,0,0,0,0,16,16,0,115,6,0,0,1,3,64
Fernando Pacheco,ALA,LIGA,G,38,3348,37,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,637,964,0,8,268,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,54,3,250,0,6,0,335,250,0,0,0,0,0,0,0,0,0,0,0,0,57,9,84,59,25,13,0,3,0,32,32,13,328,0,0,0,0,0,0
Vicente Guaita,CRY,EPL,G,37,3330,37,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,457,921,0,11,296,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1250,0,27,1,200,0,2,0,471,200,0,0,0,0,0,0,0,0,0,0,0,0,64,8,106,72,33,7,0,4,1,33,33,22,253,0,0,0,0,0,0
Sam Johnstone,WBA,EPL,G,37,3330,37,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,4,479,1108,0,7,363,0,9,0,2,0,0,0,0,0,0,0,0,0,0,1531,0,63,2,207,0,13,0,642,211,0,0,0,0,0,0,0,0,0,0,0,0,74,6,166,103,60,14,1,11,1,38,38,23,311,0,0,0,0,0,0
Gianluigi Donnarumma,MIL,SERI,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,832,1080,0,8,278,1,11,1,1,0,0,0,0,0,0,0,0,0,0,1404,0,15,2,97,0,1,0,253,98,0,0,0,0,0,0,0,0,0,0,0,0,38,14,92,65,24,9,0,4,1,35,35,12,205,0,0,0,0,0,1
Unai Simon,ATH,LIGA,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,4,545,859,0,7,293,1,11,6,1,0,0,0,0,0,0,0,0,0,0,1188,0,43,3,160,0,7,0,321,162,0,0,0,0,0,0,0,0,0,0,0,0,40,9,70,45,24,13,1,6,1,15,15,8,241,0,1,0,0,0,1
Andrea Consigli,SAS,SERI,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,931,1182,0,17,301,0,23,0,4,0,0,0,0,0,0,0,0,0,0,1563,0,25,3,60,0,2,0,257,61,0,0,0,0,0,0,0,0,0,0,0,0,56,7,131,81,49,9,0,5,1,26,26,12,161,0,0,0,0,0,0
Steve Mandanda,OM,FRAN,G,37,3330,37,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,740,1122,0,8,333,1,11,4,2,0,0,0,0,0,0,0,0,0,0,1466,0,16,1,101,0,3,0,392,102,0,0,0,0,0,0,0,0,0,0,0,0,45,8,84,46,37,11,0,3,0,19,19,11,184,0,0,0,0,0,1
Emil Audero,SAM,SERI,G,37,3330,37,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,6,699,1065,0,7,306,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1421,1,17,1,139,0,2,0,370,140,0,0,0,0,0,0,0,0,0,0,0,0,54,6,122,82,38,11,0,9,2,23,23,7,268,0,1,0,0,0,0
John McGinn,AVL,EPL,M,37,3330,37,0,0,12,0,0,3,5,0,5,0,45,11,43,52,11,42,6,34,3,6,61,37,43,77,1086,1367,7,22,234,52,211,0,2,13,3,1,32,8,2,0,1,35,0,1970,54,422,205,714,0,117,0,472,132,0,0,0,0,2,1,13,10,16,0,0,0,46,14,0,0,0,0,0,0,0,23,23,0,122,2,0,1,2,1,77
Lorenzo Montipo,BEN,SERI,G,37,3330,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,628,1059,0,11,285,0,16,2,1,0,0,0,0,0,0,0,0,0,1,1429,0,29,3,143,0,3,0,440,142,0,0,0,0,0,0,0,0,0,0,0,0,74,7,105,75,29,4,2,5,1,41,41,25,270,0,0,0,0,0,0
Ollie Watkins,AVL,EPL,F,37,3329,37,0,0,2,1,1,14,5,0,4,1,97,45,7,22,5,45,8,40,0,2,29,17,47,49,575,804,5,136,77,40,254,0,0,87,42,14,10,3,0,1,0,85,0,1411,241,317,335,486,1,40,0,486,8,2,1,1,0,0,0,1,0,24,0,0,0,46,14,0,0,0,0,0,0,0,23,23,0,6,0,0,31,13,11,70
Rui Patricio,WOL,EPL,G,37,3329,37,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,414,662,0,8,258,0,9,2,1,0,0,0,0,0,0,0,0,0,0,951,0,5,2,79,0,2,0,252,80,0,0,0,0,0,0,0,0,1,0,0,0,51,10,100,68,32,4,0,8,1,8,8,5,174,0,0,0,0,0,0
Thomas Foket,SR,FRAN,M/D,37,3325,37,0,1,4,0,0,0,3,0,3,0,6,3,69,59,14,24,0,20,1,7,77,43,33,34,1197,1494,14,28,181,18,157,1,1,2,2,0,4,1,0,0,1,17,1,2363,26,233,130,483,18,72,0,482,90,0,0,0,0,0,0,0,0,13,0,0,0,49,10,0,0,0,0,0,0,0,74,74,0,92,0,0,4,0,0,30
Jean-Louis Leca,RCL,FRAN,G,37,3315,37,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,2,1,10,554,880,0,9,257,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1184,0,43,3,140,0,5,0,330,141,0,0,0,0,0,0,0,0,0,0,0,0,51,8,88,57,31,13,1,10,0,24,24,10,203,0,0,0,0,0,0
Sven Botman,LIL,FRAN,D,37,3311,37,0,2,3,0,0,0,0,0,0,0,16,5,57,1,0,5,0,5,0,21,31,21,14,25,2246,2594,0,120,197,7,180,0,2,15,5,0,1,0,0,0,0,3,0,2962,34,193,86,772,7,23,0,379,398,0,0,0,0,0,0,0,0,7,1,0,0,23,20,0,0,0,0,0,0,0,119,119,0,141,1,0,2,0,0,9
Conor Coady,WOL,EPL,D,37,3304,37,0,1,5,0,0,1,0,0,0,0,7,2,27,0,0,3,0,3,0,32,35,23,22,10,1634,1857,0,41,155,6,91,1,1,6,2,1,1,0,0,0,0,3,0,2170,12,86,69,375,4,14,2,241,281,0,0,0,0,0,0,0,0,2,0,0,0,51,10,0,0,0,0,1,0,0,130,130,0,248,0,2,0,3,0,8
Mahdi Camara,ASS,FRAN,M/D,37,3295,37,0,5,4,0,0,3,2,0,1,1,23,9,78,34,12,24,2,22,0,12,99,67,48,41,1371,1587,12,48,191,31,216,0,0,14,8,3,9,1,0,0,0,21,0,2217,36,221,146,587,1,57,1,337,146,0,0,0,0,0,0,0,0,8,0,0,0,52,11,0,0,0,0,0,0,0,50,50,0,71,0,1,0,5,3,55
Predrag Rajkovic,SR,FRAN,G,37,3285,37,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,1,12,807,1287,0,13,320,2,23,2,1,0,0,0,0,0,0,0,0,0,0,1642,0,47,4,134,0,24,0,487,134,0,0,0,0,0,0,0,0,0,0,0,0,49,10,114,66,48,10,1,7,2,35,35,18,243,0,0,0,0,0,2
Joao Pedro,CAG,SERI,F,37,3262,37,0,9,4,0,0,16,3,0,3,0,76,35,13,25,4,38,10,35,0,6,13,6,46,98,679,914,4,67,97,39,215,0,0,61,30,15,15,5,1,0,0,32,0,1489,156,258,229,461,1,66,0,418,41,5,4,0,1,1,0,1,0,24,3,0,0,55,4,0,0,0,0,0,0,0,27,27,0,46,1,0,11,6,12,80
Roberto Soriano,BOL,SERI,M,37,3255,37,0,5,5,0,0,9,6,2,6,0,61,19,18,34,8,52,15,46,0,8,48,26,75,49,1207,1456,8,34,184,36,167,0,0,30,11,7,31,8,2,0,1,31,0,1993,99,443,227,828,1,83,0,402,105,0,0,0,0,0,0,0,0,17,0,0,0,58,5,0,0,0,0,0,0,0,42,42,0,42,5,0,3,5,6,56
Marc Cucurella,GET,LIGA,M/D,37,3248,37,0,6,8,0,0,3,2,0,2,0,26,8,40,138,26,39,4,33,4,4,64,51,69,60,804,1100,23,71,202,24,217,0,0,11,4,2,15,4,1,0,0,42,0,1878,97,398,275,662,7,148,0,594,44,0,0,0,0,4,2,11,3,28,0,0,0,38,12,0,0,0,0,0,0,0,20,20,0,31,0,0,9,1,2,59
Samir Handanovic,INT,SERI,G,37,3240,37,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,780,920,0,7,215,0,12,3,0,0,0,0,0,0,0,0,0,0,1,1193,0,10,0,54,0,1,0,146,57,0,0,0,0,0,0,0,0,0,0,0,0,33,14,78,54,24,4,0,6,2,9,9,3,141,0,1,0,0,0,0
Tommaso Augello,SAM,SERI,D,37,3220,37,0,4,2,0,1,1,3,0,3,0,8,2,32,148,27,29,7,25,1,2,42,30,13,25,1268,1595,26,44,214,31,139,1,0,4,1,0,4,1,1,0,0,16,0,2435,33,334,97,670,12,159,0,588,133,0,0,0,0,2,1,0,0,25,0,0,0,49,7,0,0,0,0,0,0,0,64,64,0,50,0,0,2,0,0,54
Patrick Bamford,LEE,EPL,F,38,3062,37,1,13,3,0,0,17,7,0,7,0,107,48,10,3,1,30,5,23,0,4,21,9,36,23,393,509,1,47,59,19,110,0,0,95,44,15,12,4,2,0,2,21,0,920,174,132,169,231,0,21,0,249,13,2,2,0,0,0,0,2,0,17,0,0,0,50,9,0,0,0,0,0,0,0,37,37,0,4,2,0,18,21,10,40
Alex Cordaz,CRO,SERI,G,36,3240,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7,883,1276,0,5,319,1,12,1,1,0,0,0,0,0,0,0,0,0,0,1615,0,24,0,121,0,4,0,397,121,0,0,0,0,0,0,0,0,0,0,0,0,91,2,118,81,37,11,0,5,0,13,13,6,274,0,0,0,0,0,1
Ederson,MCI,EPL,G,36,3240,36,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,1,4,779,959,0,7,229,0,13,1,3,0,0,0,0,0,0,0,0,0,0,1237,0,18,3,55,0,13,0,185,57,0,0,0,0,0,0,0,0,0,0,0,0,28,19,66,37,29,14,0,8,1,17,17,6,158,0,2,0,0,0,0
James Tarkowski,BRN,EPL,D,36,3240,36,0,0,6,0,0,1,0,0,0,0,22,6,44,6,2,12,1,11,1,42,66,39,27,29,882,1259,2,165,160,12,272,1,0,21,6,1,1,0,0,0,0,4,0,1734,66,118,128,318,4,55,4,414,191,0,0,0,0,0,0,0,0,6,0,0,0,50,11,0,0,0,0,0,0,0,159,159,0,130,0,1,3,4,1,14
Sergio Asenjo,VIL,LIGA,G,36,3240,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,836,1115,0,7,272,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1448,0,25,2,103,0,8,0,287,104,0,0,0,0,0,0,0,0,0,0,0,0,40,10,80,55,25,6,1,9,1,23,23,10,201,0,0,0,0,0,0
Giovanni Di Lorenzo,NAP,SERI,D,36,3240,36,0,0,11,0,0,3,6,0,6,0,28,12,35,72,16,49,9,42,0,13,79,50,49,60,1903,2189,16,56,177,30,224,0,1,22,9,3,6,3,0,0,1,16,0,3062,86,517,161,994,13,119,0,433,184,0,0,0,0,0,0,0,0,21,0,0,0,41,12,0,0,0,0,1,0,0,51,51,0,81,2,0,3,4,2,54
Luigi Sepe,PAR,SERI,G,36,3240,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,966,1257,0,4,307,2,8,2,0,0,0,0,0,0,0,0,0,0,0,1607,0,54,4,218,0,10,0,298,217,0,0,0,0,0,0,0,0,1,0,0,0,76,5,109,68,40,9,0,2,0,20,20,7,366,0,0,0,0,0,2
Alphonse Areola,FUL,EPL,G,36,3240,36,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,576,838,0,14,266,0,19,2,1,0,0,0,0,0,0,0,0,0,0,1209,0,28,5,98,0,3,0,269,100,0,0,0,0,0,0,0,0,0,0,0,0,48,9,116,80,34,5,0,6,0,39,39,26,157,0,0,0,0,0,0
Franck Kessie,MIL,SERI,M,37,3230,36,1,4,8,0,0,13,4,0,3,1,49,21,46,13,2,31,5,27,0,15,53,30,65,40,1773,1994,2,56,269,43,192,0,0,42,20,13,7,1,0,1,0,40,0,2557,93,394,173,904,3,52,0,348,153,13,11,0,2,0,0,0,0,8,0,0,0,39,11,0,0,0,0,1,0,0,48,48,0,102,0,0,1,7,11,54
Fabien Centonze,MET,FRAN,M/D,36,3222,36,0,1,9,0,0,1,0,0,0,0,24,6,112,114,21,22,4,20,2,17,104,68,43,57,1084,1362,21,56,198,59,276,1,0,10,3,1,14,3,0,0,0,32,0,2586,35,207,195,541,8,120,0,596,132,0,0,0,0,0,0,2,2,22,0,0,0,45,8,0,0,0,0,1,0,0,111,111,0,36,2,0,3,0,1,119
Junior Messias,CRO,SERI,F/M,36,3217,36,0,4,6,0,0,9,4,0,0,4,98,31,35,123,24,32,6,22,6,12,60,35,34,93,838,1067,11,35,166,105,292,0,0,46,19,6,52,12,3,0,1,58,0,2018,107,315,260,562,1,174,0,586,49,0,0,0,0,23,5,44,33,31,9,4,1,86,2,0,0,0,0,0,0,0,39,39,0,52,0,0,5,7,4,163
Kamil Glik,BEN,SERI,D,36,3207,36,0,0,8,1,1,2,1,0,1,0,29,11,62,1,0,4,0,3,0,31,44,24,32,21,1146,1295,0,87,137,2,154,0,0,27,11,2,2,0,0,0,0,4,1,1704,47,46,120,227,1,4,0,173,144,0,0,0,0,0,0,0,0,4,0,0,0,73,5,0,0,0,0,0,0,0,152,152,0,116,0,0,0,2,1,4
Rodrigo De Paul,UDI,SERI,M,36,3203,36,0,1,3,1,2,9,9,0,7,2,82,22,17,262,72,82,20,41,32,1,42,24,33,125,1467,1839,29,6,208,122,294,0,1,16,11,7,66,11,2,0,0,56,0,2876,64,595,196,1030,8,390,0,804,121,3,3,0,0,45,14,111,96,38,10,0,0,56,6,0,0,0,0,1,0,0,12,12,0,162,6,0,1,1,4,182
Tyrone Mings,AVL,EPL,D,36,3195,36,0,0,4,1,1,2,2,0,1,1,19,7,41,5,1,7,0,5,0,40,32,16,21,18,1308,1679,1,91,209,6,146,1,2,19,7,2,0,0,0,0,0,4,1,2115,38,133,70,429,2,26,1,408,261,0,0,0,0,0,0,0,0,9,0,0,0,42,14,0,0,0,0,0,0,0,170,170,0,132,0,1,3,2,2,8
Ben White,BHA,EPL,D,36,3194,36,0,4,3,1,1,0,0,0,0,0,10,1,62,22,1,8,1,8,0,22,49,26,30,9,1453,1747,1,49,186,24,131,0,0,9,1,0,1,0,0,0,0,10,0,2179,22,236,130,541,6,70,0,370,150,0,0,0,0,0,0,0,0,8,0,0,0,44,11,0,0,0,0,0,0,0,50,50,0,84,1,1,1,0,0,32
Jose Fonte,LIL,FRAN,D,36,3187,36,0,2,7,0,0,3,0,0,0,0,27,10,36,12,3,10,0,10,0,23,40,29,30,13,2135,2364,3,81,200,6,139,0,1,24,9,2,3,1,1,0,1,1,1,2730,53,196,62,712,1,24,0,251,298,0,0,0,0,0,0,1,0,7,0,0,0,22,19,0,0,0,0,1,0,0,136,136,0,149,0,1,0,1,1,6
Aaron Cresswell,WHU,EPL,D,36,3172,36,0,2,3,0,0,0,8,2,2,6,19,4,32,207,59,58,12,24,26,14,32,13,13,18,1303,1652,20,35,195,4,89,0,2,4,0,0,15,4,0,0,0,9,0,2423,14,354,71,717,6,220,0,588,187,0,0,0,0,28,10,87,83,16,11,3,0,41,11,0,0,0,0,0,0,0,73,73,0,119,1,0,0,0,0,10
Bartlomiej Dragowski,FIO,SERI,G,36,3149,36,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,5,540,889,0,7,296,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1225,0,44,2,139,0,9,0,356,141,0,0,0,0,0,0,0,0,0,0,0,0,55,7,87,55,32,6,1,10,2,30,30,17,229,0,0,0,0,0,0
Son Heung-Min,TOT,EPL,F/M,37,3121,36,1,13,0,0,0,17,10,0,8,2,68,36,14,148,36,75,14,42,23,3,32,18,14,54,882,1057,4,20,145,39,145,0,0,44,28,14,24,8,3,1,0,50,0,1657,134,352,212,651,5,175,0,440,20,1,1,0,0,21,5,96,89,28,1,0,0,36,7,0,0,0,0,0,0,0,3,3,0,28,0,0,16,10,13,72
